-- census: FTZ/DAZ off --
census a1_standard steady   : blocks 20000 | sub-out blocks 0 (0.0%) | sub-out samples 0 | DE blocks 0 (0.0%) | UE blocks 0 | min |x| 9.834766e-7
native-ftz a1_standard steady    rep 5/5: p50 6.74% | p99 11.05% | p99.9 14.75% | max 16.91% | estimator 10.37% | quotable
native-ftz a1_standard amp-decay rep 1/5: p50 6.56% | p99 10.80% | p99.9 13.96% | max 16.94% | estimator 10.24% | quotable
native-ftz a1_standard amp-decay rep 2/5: p50 6.64% | p99 10.82% | p99.9 13.63% | max 16.62% | estimator 10.21% | quotable
native-ftz a1_standard amp-decay rep 3/5: p50 6.61% | p99 10.92% | p99.9 13.44% | max 24.04% | estimator 10.45% | quotable
native-ftz a1_standard amp-decay rep 4/5: p50 6.22% | p99 10.39% | p99.9 13.01% | max 16.29% | estimator 9.95% | quotable
native-ftz a1_standard amp-decay rep 5/5: p50 6.59% | p99 10.83% | p99.9 13.50% | max 16.58% | estimator 10.21% | quotable
native-ftz a1_standard subnormal rep 1/5: p50 6.38% | p99 10.67% | p99.9 13.25% | max 15.97% | estimator 10.11% | quotable
native-ftz a1_standard subnormal rep 2/5: p50 6.46% | p99 10.63% | p99.9 13.68% | max 16.53% | estimator 10.06% | quotable
native-ftz a1_standard subnormal rep 3/5: p50 6.45% | p99 10.67% | p99.9 13.60% | max 22.29% | estimator 10.07% | quotable
native-ftz a1_standard subnormal rep 4/5: p50 6.49% | p99 10.77% | p99.9 13.31% | max 16.34% | estimator 10.12% | quotable
native-ftz a1_standard subnormal rep 5/5: p50 6.61% | p99 10.94% | p99.9 13.92% | max 16.41% | estimator 10.33% | quotable
native-ftz a2_lite steady    rep 1/5: p50 2.07% | p99 6.13% | p99.9 7.91% | max 10.60% | estimator 5.69% | quotable
native-ftz a2_lite steady    rep 2/5: p50 2.05% | p99 6.08% | p99.9 7.53% | max 9.54% | estimator 5.67% | quotable
native-ftz a2_lite steady    rep 3/5: p50 1.91% | p99 5.99% | p99.9 7.33% | max 9.38% | estimator 5.67% | quotable
native-ftz a2_lite steady    rep 4/5: p50 2.04% | p99 6.09% | p99.9 7.55% | max 10.95% | estimator 5.67% | quotable
native-ftz a2_lite steady    rep 5/5: p50 1.91% | p99 6.04% | p99.9 7.99% | max 10.24% | estimator 5.65% | quotable
native-ftz a2_lite amp-decay rep 1/5: p50 2.07% | p99 6.08% | p99.9 7.50% | max 9.54% | estimator 5.75% | quotable
native-ftz a2_lite amp-decay rep 2/5: p50 1.82% | p99 5.79% | p99.9 6.76% | max 20.27% | estimator 5.69% | quotable
native-ftz a2_lite amp-decay rep 3/5: p50 2.05% | p99 6.03% | p99.9 7.98% | max 9.92% | estimator 5.85% | quotable
native-ftz a2_lite amp-decay rep 4/5: p50 1.91% | p99 6.03% | p99.9 8.00% | max 9.74% | estimator 5.66% | quotable
native-ftz a2_lite amp-decay rep 5/5: p50 2.04% | p99 6.01% | p99.9 7.37% | max 9.50% | estimator 5.68% | quotable
native-ftz a2_lite subnormal rep 1/5: p50 2.09% | p99 6.10% | p99.9 7.51% | max 11.71% | estimator 5.73% | quotable
native-ftz a2_lite subnormal rep 2/5: p50 2.04% | p99 6.03% | p99.9 8.01% | max 9.61% | estimator 5.82% | quotable
native-ftz a2_lite subnormal rep 3/5: p50 1.81% | p99 5.73% | p99.9 7.82% | max 10.22% | estimator 5.39% | quotable
native-ftz a2_lite subnormal rep 4/5: p50 2.00% | p99 5.99% | p99.9 7.12% | max 9.65% | estimator 5.65% | quotable
native-ftz a2_lite subnormal rep 5/5: p50 2.00% | p99 6.08% | p99.9 7.42% | max 10.51% | estimator 5.70% | quotable
